concept_id,theme,en_title,ja_article,verification_status,verdict,verdict_internal,verdict_definition,confidence,confidence_meaning,judgment_id,supersedes,judged_at,en_revid,ja_revid,en_body_chars,ja_body_chars,en_sections,ja_sections,en_footnote_ref_domains,ja_footnote_ref_domains,comparison_valid,ja_relation,eligibility_criterion,eligibility_status,evidence_run_id,calc_version,scope,permalink,source_license
health-literacy,健康・からだ,Health literacy,ヘルス・リテラシー,人手確認済み,論点に差がある,薄い,独立した記事はある。その上で、英語版で扱われている論点のうち、日本語版の記事では確認できないものを人手で特定した。文字数が少ないことだけを理由にはしていない。英語版が正しい基準だという意味ではない。,根拠を引用できる,本文を通読し、判断の根拠を具体的に示せる。,j-0010,,2026-09-09,1371175182,108330095,28887,442,7,0,33,3,True,同一概念として比較,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#health-literacy,Wikipedia由来のデータは CC BY-SA 4.0
perimenopause,健康・からだ,Menopause,更年期障害,人手確認済み,別記事の中にある,実質包含,独立した記事は無いが、別の記事の中に概念の定義がある。単独の記事が定義している場合に限る。,根拠を引用できる,本文を通読し、判断の根拠を具体的に示せる。,j-0027,j-0022,2026-09-14,1373253600,108390311,45505,2653,9,6,40,9,True,同一概念として比較,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#perimenopause,Wikipedia由来のデータは CC BY-SA 4.0
sarcopenia,健康・からだ,Sarcopenia,サルコペニア,未確認,未検証,,人手確認をしていない,,,,,,1370503742,109883603,12493,2771,9,4,3,7,True,同一概念として比較,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#sarcopenia,Wikipedia由来のデータは CC BY-SA 4.0
insulin-resistance,健康・からだ,Insulin resistance,インスリン抵抗性,未確認,未検証,,人手確認をしていない,,,,,,1373855861,110383986,20154,2662,7,4,11,6,True,同一概念として比較,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#insulin-resistance,Wikipedia由来のデータは CC BY-SA 4.0
sleep-hygiene,健康・からだ,Sleep hygiene,睡眠衛生,未確認,未検証,,人手確認をしていない,,,,,,1373233236,105798585,12878,3657,6,4,10,8,True,同一概念として比較,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#sleep-hygiene,Wikipedia由来のデータは CC BY-SA 4.0
sedentary-lifestyle,健康・からだ,Sedentary lifestyle,座りがちなライフスタイル,未確認,未検証,,人手確認をしていない,,,,,,1368414226,108243282,6571,1606,4,3,19,22,True,同一概念として比較,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#sedentary-lifestyle,Wikipedia由来のデータは CC BY-SA 4.0
pelvic-floor,健康・からだ,Pelvic floor,骨盤底,未確認,未検証,,人手確認をしていない,,,,,,1334709339,106029037,4155,1786,4,4,5,1,True,同一概念として比較,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#pelvic-floor,Wikipedia由来のデータは CC BY-SA 4.0
delayed-onset-muscle-soreness,健康・からだ,Delayed onset muscle soreness,遅発性筋肉痛,未確認,未検証,,人手確認をしていない,,,,,,1369172237,101861974,7552,1551,5,5,3,2,True,同一概念として比較,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#delayed-onset-muscle-soreness,Wikipedia由来のデータは CC BY-SA 4.0
overdiagnosis,健康・からだ,Overdiagnosis,過剰診断,人手確認済み,日本語版が上回る,該当なし,今回観測した3つの指標（本文文字数・節の数・脚注内の外部参照ドメイン数）のいずれでも、日本語版が英語版を上回った。総合的な品質を比べたものではない。,根拠を引用できる,本文を通読し、判断の根拠を具体的に示せる。,j-0004,,2026-09-08,1368886660,110811475,11219,12368,7,10,1,49,True,同一概念として比較,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#overdiagnosis,Wikipedia由来のデータは CC BY-SA 4.0
parasocial-interaction,こころ,Parasocial interaction,,人手確認済み,別記事の中にある,実質包含,独立した記事は無いが、別の記事の中に概念の定義がある。単独の記事が定義している場合に限る。,根拠を引用できる,本文を通読し、判断の根拠を具体的に示せる。,j-0028,j-0002,2026-09-23,1373745353,,74408,,9,,44,,True,未選定,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#parasocial-interaction,Wikipedia由来のデータは CC BY-SA 4.0
compassion-fatigue,こころ,Compassion fatigue,二次受傷,人手確認済み,比較できない,判定不能,日本語版と英語版で扱っている概念の粒度が違うなど、比較が成立しない。,根拠を引用できる,本文を通読し、判断の根拠を具体的に示せる。,j-0018,j-0011,2026-09-09,1373260190,108959421,20378,581,10,3,29,2,True,同一概念として比較,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#compassion-fatigue,Wikipedia由来のデータは CC BY-SA 4.0
moral-injury,こころ,Moral injury,,人手確認済み,確認できず,欠落,独立した記事も、上位・隣接記事の中の実質的な説明も、下記の探索範囲では確認できなかった。「日本語に情報が存在しない」という意味ではない。,探索済み・断定保留,示した範囲は確認した。範囲外の記事に記述が残っている可能性がある。,j-0015,j-0005,2026-09-09,1371142745,,21129,,12,,13,,True,未選定,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#moral-injury,Wikipedia由来のデータは CC BY-SA 4.0
rumination,こころ,Rumination (psychology),反芻思考,未確認,未検証,,人手確認をしていない,,,,,,1370705343,109636657,18316,3415,6,6,11,0,True,同一概念として比較,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#rumination,Wikipedia由来のデータは CC BY-SA 4.0
bystander-effect,こころ,Bystander effect,傍観者効果,人手確認済み,論点に差がある,薄い,独立した記事はある。その上で、英語版で扱われている論点のうち、日本語版の記事では確認できないものを人手で特定した。文字数が少ないことだけを理由にはしていない。英語版が正しい基準だという意味ではない。,根拠を引用できる,本文を通読し、判断の根拠を具体的に示せる。,j-0023,,2026-09-14,1364396221,108550162,31786,1402,4,2,37,3,True,同一概念として比較,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#bystander-effect,Wikipedia由来のデータは CC BY-SA 4.0
emotional-labor,こころ,Emotional labor,感情労働,人手確認済み,論点に差がある,薄い,独立した記事はある。その上で、英語版で扱われている論点のうち、日本語版の記事では確認できないものを人手で特定した。文字数が少ないことだけを理由にはしていない。英語版が正しい基準だという意味ではない。,根拠を引用できる,本文を通読し、判断の根拠を具体的に示せる。,j-0024,,2026-09-14,1370202618,109937661,23747,2021,7,3,25,2,True,同一概念として比較,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#emotional-labor,Wikipedia由来のデータは CC BY-SA 4.0
learned-helplessness,こころ,Learned helplessness,学習性無力感,未確認,未検証,,人手確認をしていない,,,,,,1372329107,110067240,13458,2679,6,5,8,5,True,同一概念として比較,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#learned-helplessness,Wikipedia由来のデータは CC BY-SA 4.0
emotional-dysregulation,こころ,Emotional dysregulation,感情調節障害,未確認,未検証,,人手確認をしていない,,,,,,1368437745,109207489,15039,5728,7,8,20,2,True,同一概念として比較,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#emotional-dysregulation,Wikipedia由来のデータは CC BY-SA 4.0
hedonic-treadmill,こころ,Hedonic treadmill,快楽順応,未確認,未検証,,人手確認をしていない,,,,,,1372405198,109626649,14536,7265,5,4,16,14,True,同一概念として比較,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#hedonic-treadmill,Wikipedia由来のデータは CC BY-SA 4.0
drip-pricing,くらし・権利,Drip pricing,,未確認,未検証,,人手確認をしていない,,,,,,1372917632,,8376,,4,,23,,True,未選定,b,pending,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#drip-pricing,Wikipedia由来のデータは CC BY-SA 4.0
unit-price,くらし・権利,Unit price,,人手確認済み,別記事の中にある,実質包含,独立した記事は無いが、別の記事の中に概念の定義がある。単独の記事が定義している場合に限る。,根拠を引用できる,本文を通読し、判断の根拠を具体的に示せる。,j-0021,,2026-09-14,1341368315,,5918,,2,,4,,True,未選定,b,pending,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#unit-price,Wikipedia由来のデータは CC BY-SA 4.0
dark-pattern,くらし・権利,Dark pattern,ダークパターン,未確認,未検証,,人手確認をしていない,,,,,,1373488615,110758569,14323,4157,4,4,50,28,True,同一概念として比較,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#dark-pattern,Wikipedia由来のデータは CC BY-SA 4.0
shrinkflation,くらし・権利,Shrinkflation,シュリンクフレーション,人手確認済み,論点に差がある,薄い,独立した記事はある。その上で、英語版で扱われている論点のうち、日本語版の記事では確認できないものを人手で特定した。文字数が少ないことだけを理由にはしていない。英語版が正しい基準だという意味ではない。,根拠を引用できる,本文を通読し、判断の根拠を具体的に示せる。,j-0025,,2026-09-14,1373074613,107464339,10747,1021,9,2,39,9,True,同一概念として比較,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#shrinkflation,Wikipedia由来のデータは CC BY-SA 4.0
greenwashing,くらし・権利,Greenwashing,グリーンウォッシング,人手確認済み,論点に差がある,薄い,独立した記事はある。その上で、英語版で扱われている論点のうち、日本語版の記事では確認できないものを人手で特定した。文字数が少ないことだけを理由にはしていない。英語版が正しい基準だという意味ではない。,根拠を引用できる,本文を通読し、判断の根拠を具体的に示せる。,j-0019,,2026-09-09,1369810533,110815854,50191,3395,9,4,113,24,True,同一概念として比較,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#greenwashing,Wikipedia由来のデータは CC BY-SA 4.0
