concept_id,ja_sitelink,naive_flag,human_verdict,outcome,judgment_id,included_because
attachment-parenting,なし,「日本語版に無い」と出る,欠落,not_contradicted,j-0017,人手検証を完了した概念すべてを対象にしている
bystander-effect,あり,フラグ立たず,薄い,not_flagged,j-0023,人手検証を完了した概念すべてを対象にしている
compassion-fatigue,あり,フラグ立たず,判定不能,not_flagged,j-0018,人手検証を完了した概念すべてを対象にしている
emotional-labor,あり,フラグ立たず,薄い,not_flagged,j-0024,人手検証を完了した概念すべてを対象にしている
food-desert,あり,フラグ立たず,薄い,not_flagged,j-0020,人手検証を完了した概念すべてを対象にしている
greenwashing,あり,フラグ立たず,薄い,not_flagged,j-0019,人手検証を完了した概念すべてを対象にしている
health-literacy,あり,フラグ立たず,薄い,not_flagged,j-0010,人手検証を完了した概念すべてを対象にしている
indoor-air-quality,あり,フラグ立たず,薄い,not_flagged,j-0012,人手検証を完了した概念すべてを対象にしている
moral-injury,なし,「日本語版に無い」と出る,欠落,not_contradicted,j-0015,人手検証を完了した概念すべてを対象にしている
overdiagnosis,あり,フラグ立たず,該当なし,not_flagged,j-0004,人手検証を完了した概念すべてを対象にしている
parasocial-interaction,なし,「日本語版に無い」と出る,実質包含,contradicted,j-0028,人手検証を完了した概念すべてを対象にしている
parental-burnout,なし,「日本語版に無い」と出る,欠落,not_contradicted,j-0016,人手検証を完了した概念すべてを対象にしている
parenting-styles,なし,「日本語版に無い」と出る,実質包含,contradicted,j-0013,人手検証を完了した概念すべてを対象にしている
perimenopause,あり,フラグ立たず,実質包含,not_flagged,j-0027,人手検証を完了した概念すべてを対象にしている
postpartum-depression,あり,フラグ立たず,薄い,not_flagged,j-0008,人手検証を完了した概念すべてを対象にしている
screen-time,なし,「日本語版に無い」と出る,欠落,not_contradicted,j-0014,人手検証を完了した概念すべてを対象にしている
shrinkflation,あり,フラグ立たず,薄い,not_flagged,j-0025,人手検証を完了した概念すべてを対象にしている
thermal-bridge,あり,フラグ立たず,薄い,not_flagged,j-0026,人手検証を完了した概念すべてを対象にしている
thermal-comfort,あり,フラグ立たず,薄い,not_flagged,j-0009,人手検証を完了した概念すべてを対象にしている
unit-price,なし,「日本語版に無い」と出る,実質包含,contradicted,j-0021,人手検証を完了した概念すべてを対象にしている
